transaction_id,transaction_type,category,description,amount_kes,budget_limit_kes,payment_method
TX001,Expense,Transport,Fuel,1219.0,5500.0,Card
TX002,Expense,Housing,Rent,1938.0,8000.0,Cash
TX003,Expense,Utilities,Electricity,2657.0,10500.0,Bank
TX004,Expense,Education,Books,3376.0,13000.0,M-Pesa
TX005,Expense,Entertainment,Streaming,-2500.0,3000.0,Card
TX006,Income,Food,Groceries,4814.0,5500.0,Cash
TX007,Expense,Transport,Fuel,5533.0,8000.0,Bank
TX008,Expense,Housing,Rent,6252.0,10500.0,M-Pesa
TX009,Expense,Utilities,Electricity,6971.0,13000.0,Card
TX010,Expense,Education,Books,7690.0,3000.0,Cash
TX011,EXP,Entertainment,Streaming,8409.0,5500.0,Bank
TX012,Income,Food,Groceries,9128.0,8000.0,M-Pesa
TX013,Expense,Transport,Fuel,9847.0,10500.0,Card
TX014,Expense,Housing,Rent,10566.0,13000.0,Cash
TX015,Expense,Utilities,Electricity,11285.0,3000.0,Bank
TX016,Expense,,Books,12004.0,5500.0,M-Pesa
TX017,Expense,Entertainment,Streaming,12723.0,8000.0,Card
TX018,Income,Food,Groceries,13442.0,10500.0,Cash
TX019,Expense,Transport,Fuel,14161.0,13000.0,Bank
TX020,Expense,Housing,Rent,14880.0,3000.0,M-Pesa
